"Continue","Continue"
"Connect","Connect"
"Disconnect","Disconnect"
"Login","Login"
"Register","Register"
"Unable to retrieve access code","Não é possível recuperar o código de acesso"
"Required HTTP method is not supported","Método HTTP necessária não é suportada"
"Unspecified OAuth error occurred","Ocorreu um erro não especificado OAuth"
"HTTP error %d occurred while issuing request","Erro HTTP %d ocorreu ao emitir pedido"
"No access token available","Nenhum token de acesso disponíveis"
"No refresh token, nothing to revoke","Sem sinal de atualização , nada de revogar"
"No refresh token, unable to refresh access token","Sem sinal de atualização , incapaz de atualizar o token de acesso"
"Unable to retrieve request token","Não é possível recuperar token de solicitação"
"Unable to retrieve access token","Não é possível recuperar o token de acesso"
"Unable to proceed without an access token","Não é possível prosseguir sem um token de acesso"
"You have successfully disconnected your Facebook account from our store account.","Você pode ter desconectado com sucesso sua conta Facebook da nossa conta loja."
"Facebook Connect process aborted.","Conexão Facebook processo abortado."
"Sorry, "%s" error occured. Please try again.","Desculpe, ocorreu erro "%s". Por favor, tente novamente."
"Your Facebook account is already connected to one of our store accounts.","A sua conta Facebook já está conectado a uma de nossas contas de loja."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","A sua conta Facebook está agora conectado ao seu accout loja. Agora você pode fazer login usando o nosso botão Facebook Connect ou usando credenciais da conta de loja que você receberá no seu endereço de e-mail."
"You have successfully logged in using your Facebook account.","Você logon com êxito usando sua conta Facebook."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. A sua conta Facebook agora está conectado à sua conta da loja."
"Sorry, could not retrieve your Facebook first name. Please try again.","Desculpe, não pôde recuperar o seu primeiro nome Facebook . Por favor, tente novamente."
"Sorry, could not retrieve your Facebook last name. Please try again.","Desculpe, não pôde recuperar seu Facebook sobrenome. Por favor, tente novamente."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","A sua conta Facebook está agora ligado ao seu novo accout usuário em nossa loja. Agora você pode acessar através do nosso botão Facebook Connect ou usando as credenciais da conta da loja que lhe serão enviados para seu endereço de e-mail."
"You have successfully disconnected your Google account from our store account.","Você pode ter desconectado com sucesso sua conta do Google da nossa conta loja."
"Google Connect process aborted.","Conexão Google processo abortado."
"Your Google account is already connected to one of our store accounts.","A sua conta Google já está conectado a uma de nossas contas de loja."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","A sua conta Google agora está conectado ao seu accout loja. Agora você pode fazer login usando o nosso botão Google Connect ou usando credenciais da conta de loja que você receberá no seu endereço de e-mail."
"You have successfully logged in using your Google account.","Você logon com êxito usando sua conta Google."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. A sua conta Google agora está conectado à sua conta loja."
"Sorry, could not retrieve your Google first name. Please try again.","Desculpe, não pôde recuperar o seu primeiro nome Google. Por favor, tente novamente."
"Sorry, could not retrieve your Google last name. Please try again.","Desculpe, não pôde recuperar seu sobrenome Google. Por favor, tente novamente."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","A sua conta Google está agora ligado ao seu novo accout usuário em nossa loja. Agora você pode acessar através do nosso botão Google Connect ou usando as credenciais da conta da loja que lhe serão enviados para seu endereço de e-mail."
"You have successfully disconnected your Twitter account from our store account.","Você pode ter desconectado com sucesso sua conta do Twitter da nossa conta loja."
"Twitter Connect process aborted.","Processo Twitter Conecte-se abortado."
"Your Twitter account is already connected to one of our store accounts.","A sua conta Twitter já está conectado a uma de nossas contas de loja."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Sua conta no Twitter é agora ligado ao seu accout loja. Agora você pode fazer login usando o nosso botão Twitter Conecte-se ou usando credenciais da conta de loja que você receberá no seu endereço de e-mail."
"You have successfully logged in using your Twitter account.","Você fez logon com sucesso usando sua conta no Twitter."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Nós descobrimos que você já tem uma conta em nossa loja. A sua conta Twitter agora está conectado à sua conta da loja."
